"Country or Area","Year","Area","Sex","Age","Cause of death (WHO)","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Panama","2017","Total","Male","Unknown","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","Unknown","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","Unknown","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9",""
"Panama","2017","Total","Male","Unknown","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","21",""
"Panama","2017","Total","Female","Total","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","440",""
"Panama","2017","Total","Female","Total","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","100",""
"Panama","2017","Total","Female","Total","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","69",""
"Panama","2017","Total","Female","Total","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Female","Total","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Female","Total","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Female","Total","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Female","Total","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","89",""
"Panama","2017","Total","Female","Total","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Female","Total","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Female","Total","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Female","Total","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","151",""
"Panama","2017","Total","Female","Total","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Female","Total","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1603",""
"Panama","2017","Total","Female","Total","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1475",""
"Panama","2017","Total","Female","Total","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","15",""
"Panama","2017","Total","Female","Total","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Panama","2017","Total","Female","Total","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","123",""
"Panama","2017","Total","Female","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","143",""
"Panama","2017","Total","Female","Total","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","94",""
"Panama","2017","Total","Female","Total","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","58",""
"Panama","2017","Total","Female","Total","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","82",""
"Panama","2017","Total","Female","Total","Malignant neoplasm of female breast, ICD10","Data tabulated by year of registration","Final figure, complete","2020","241",""
"Panama","2017","Total","Female","Total","Malignant neoplasm of cervix uteri, ICD10","Data tabulated by year of registration","Final figure, complete","2020","144",""
"Panama","2017","Total","Female","Total","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","144",""
"Panama","2017","Total","Female","Total","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","65",""
"Panama","2017","Total","Female","Total","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","44",""
"Panama","2017","Total","Female","Total","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","830",""
"Panama","2017","Total","Female","Total","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","671",""
"Panama","2017","Total","Female","Total","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","44",""
"Panama","2017","Total","Female","Total","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","51",""
"Panama","2017","Total","Female","Total","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","282",""
"Panama","2017","Total","Female","Total","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2503",""
"Panama","2017","Total","Female","Total","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","12",""
"Panama","2017","Total","Female","Total","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","330",""
"Panama","2017","Total","Female","Total","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","670",""
"Panama","2017","Total","Female","Total","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","758",""
"Panama","2017","Total","Female","Total","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","78",""
